Title,Year,Genres,Language,Director,Score,soup
Ratatouille,2007,Animation Comedy Family Fantasy,English,Brad Bird,7.69,"paris france siblingrelationship expensiverestaurant river cook mouse evacuation confidence ""leavingonesfamily"" work restaurantcritic spice cookbook food chef sewer unlikelyfriendship rat animationcomedyfamilyfantasy bradbird pattonoswalt ianholm louromano briandennehy"
Throne of Blood,1957,Drama History,Japanese,Akira Kurosawa,7.69,japan prophecy basedonnovelorbook samurai castle ambition betrayal plot ghost feudallord feudaljapan dramahistory akirakurosawa toshirōmifune isuzuyamada akirakubo takashishimura
The Hateful Eight,2015,Crime Drama Mystery Western,English,Quentin Tarantino,7.69,bountyhunter wyoming mountain narration hangman stagecoach blizzard postcivilwar crimedramamysterywestern quentintarantino samuell.jackson kurtrussell jenniferjasonleigh waltongoggins
The Red Shoes,1948,Drama Romance,English,Emeric Pressburger,7.69,london england composer danceperformance newlove dance balletdancer musiclover ballet redshoes dramaromance emericpressburger moirashearer adolfwohlbrück mariusgoring léonidemassine
Edward Scissorhands,1990,Fantasy Drama Romance,English,Tim Burton,7.69,underdog loveatfirstsight hairdresser smalltown scissors inventor burglar unsociability fantasydramaromance timburton johnnydepp winonaryder diannewiest alanarkin
"Spring, Summer, Fall, Winter and Spring",2003,Drama,Korean,Kim Ki-duk,7.69,buddhism lifeanddeath philosophy countryside becominganadult buddhistmonk temple mountainlake meditation isolation attachmenttonature religiouseducation cycle penalty mortification restart taskmaster dyinganddeath season child drama kimkiduk kimkiduk kimyoungmin hayeojin ohyeongsu
Back to the Future Part II,1989,Adventure Comedy Family Science Fiction,English,Robert Zemeckis,7.69,skateboarding flyingcar carrace delorean lightning almanac inventor timetravel sequel diner alternatehistory teenager electricguitar walkingcane highschooldance hoverboard videophone adventurecomedyfamilysciencefiction robertzemeckis michaelj.fox christopherlloyd leathompson thomasf.wilson
Slumdog Millionaire,2008,Drama Romance,English,Danny Boyle,7.68,slum cheating suspicion mumbai(bombay) india gameshow quizshow orphan duringcreditsstinger tajmahal dramaromance dannyboyle devpatel saurabhshukla anilkapoor rajendranathzutshi
Die Hard,1988,Action Thriller,English,John McTiernan,7.68,basedonnovelorbook terrorist s.w.a.t. hostage fbi kidnapping vault murder heist shootout losangeles california onemanarmy onenight christmas 1980s actionhero actionthriller johnmctiernan brucewillis bonniebedelia reginaldveljohnson paulgleason
Pans Labyrinth,2006,Fantasy Drama War,Spanish,Guillermo del Toro,7.68,spain resistance servant antihero fairytale francoregime(francoism) army princess love woods cruelty hiding labyrinth mythological childreninwartime brutalviolence postspanishcivilwar faun fantasydramawar guillermodeltoro ivanabaquero maribelverdú sergilópez dougjones
The Perks of Being a Wallflower,2012,Drama,English,Stephen Chbosky,7.68,basedonnovelorbook freshman comingofage teenageboy highschoolstudent firstlove auntnephewrelationship lgbt lgbtteen pittsburgh pennsylvania 1990s basedonyoungadultnovel drama stephenchbosky loganlerman emmawatson ezramiller maewhitman
Nightcrawler,2014,Crime Drama Thriller,English,Dan Gilroy,7.68,journalism underground jobinterview tvstation cynicism sociopath videocamera crimescene losangeles california homeinvasion carchase stakeout tvnews newsreelfootage neo-noir ethics stringer policescanner newsbusiness crimedramathriller dangilroy jakegyllenhaal renerusso rizahmed billpaxton
Elite Squad: The Enemy Within,2010,Drama Action Crime,Portuguese,José Padilha,7.68,brazilian drugtraffic penitentiary police jail torture execution drugs criminal duringcreditsstinger dramaactioncrime josépadilha wagnermoura irandhirsantos andréramiro pedrovanheld
Beauty and the Beast,1991,Romance Family Animation Fantasy,English,Gary Trousdale,7.68,"prince book castle rose musical princess beast belle romancefamilyanimationfantasy garytrousdale ""paigeohara"" robbybenson richardwhite jerryorbach"
How to Train Your Dragon 2,2014,Fantasy Action Adventure Animation Comedy Family,English,Dean DeBlois,7.68,parentchildrelationship husbandwiferelationship sacrifice viking sequel rescue dragon deathofhusband warrior 3d fantasyactionadventureanimationcomedyfamily deandeblois jaybaruchel cateblanchett gerardbutler craigferguson
Michael Jacksons Thriller,1983,Horror Music,English,John Landis,7.68,dancing date cinema narration musicvideo zombie werewolf graveyard horrormusic johnlandis michaeljackson olaray vincentprice cynthiagarris
A Bag of Marbles,2017,Drama War,French,Christian Duguay,7.68,jew/jewish 1940s occupiedfrance brotherbrotherrelationship dramawar christianduguay dorianleclech batystefleurial patrickbruel elsazylberstein
The Kings Speech,2010,Drama History,English,Tom Hooper,7.68,greatbritain radio monarchy stutter palace radiotransmission royalfamily speech marriage basedonatruestory royalty deathoffather 1930s georgevi speechtherapy winstonchurchill corgi dramahistory tomhooper colinfirth geoffreyrush helenabonhamcarter guypearce
OJ: Made in America,2016,Documentary,English,Ezra Edelman,7.68,americanfootball policebrutality losangeles california truecrime racialtension lapd murdertrial criminaljusticesystem racerelations documentary ezraedelman o.j.simpson marciaclark francisleebailey peterhyams
Judgment at Nuremberg,1961,Drama History,English,Stanley Kramer,7.68,judge concentrationcamp worldwarii nazi courtcase nationalsocialism nationalsocialistparty nurembergtrials nuremberg rightandjustice trial dramahistory stanleykramer spencertracy burtlancaster richardwidmark marlenedietrich
All the Presidents Men,1976,Drama History Mystery Thriller,English,Alan J. Pakula,7.68,washingtond.c. journalist newspaper burglar fbi wiretap watergatescandal plan shadowing politics basedonatruestory newspaperman watergate dramahistorymysterythriller alanj.pakula robertredford dustinhoffman jackwarden martinbalsam
The Exorcist,1973,Horror,English,William Friedkin,7.67,exorcism holywater religionandsupernatural vomit possession profanity priest ouijaboard satan paranormalphenomena girl demon stronglanguage disturbedchild crisisoffaith sfx horror williamfriedkin ellenburstyn maxvonsydow leej.cobb kittywinn
White Collar Blues,1975,Comedy,Italian,Luciano Salce,7.67,Not Available comedy lucianosalce paolovillaggio annamazzamauro gigireder giuseppeanatrelli
My Hero Academia the Movie: The Two Heroes,2018,Animation Action Comedy Fantasy Adventure,Japanese,Kenji Nagasaki,7.67,japan hero superhero school superpower shounen anime animationactioncomedyfantasyadventure kenjinagasaki daikiyamashita kentamiyake miraishida nobuhikookamoto
Rocky,1976,Drama,English,John G. Avildsen,7.67,"underdog philadelphia transporter italianamerican fight ""loveofoneslife"" publicity boxer independence boxingmatch training lovers surprise worldchampion amateur victory drama johng.avildsen sylvesterstallone taliashire burtyoung carlweathers"
Rush,2013,Drama Action,English,Ron Howard,7.67,carrace worldchampion sports racingcar basedonatruestory formulaone dramaaction ronhoward chrishemsworth danielbrühl oliviawilde alexandramarialara
Castaway on the Moon,2009,Drama Comedy Romance,Korean,Lee Hae-jun,7.67,suicideattempt isolation seoul southkorea loneliness castaway dramacomedyromance leehaejun jungjaeyoung jungryeowon parkyoungseo kookyohwan
Searching for Sugar Man,2012,Documentary,English,Malik Bendjelloul,7.67,1970s mayor southafrica musician icon musicbusiness election detroit reading recording citycouncil musictour documentary malikbendjelloul denniscoffey rodriguez stephensegerman miketheodore
The Color Purple,1985,Drama,English,Steven Spielberg,7.67,prison siblingrelationship africa southernusa rape blackpeople jazz violentfather violenthusband empowerment adoption jazzsingerormusician letter incest drama stevenspielberg dannyglover whoopigoldberg margaretavery oprahwinfrey
Amour,2012,Drama Romance,French,Michael Haneke,7.67,nurse musicteacher marriedcouple pianolessons aging daughter music love retired illness pigeon stroke octogenarian oldcouple dramaromance michaelhaneke jeanlouistrintignant emmanuelleriva isabellehuppert alexandretharaud
Mystic River,2003,Thriller Crime Drama Mystery,English,Clint Eastwood,7.67,"childabuse lossoflovedone sexualabuse basedonnovelorbook secret repayment suppressedpast arbitrarylaw boston massachusetts ""workersquarter"" massachusetts loyalty guilt childhoodsexualabuse vengeance thrillercrimedramamystery clinteastwood seanpenn timrobbins kevinbacon laurencefishburne"
The Battle of Algiers,1966,Drama War History,Italian,Gillo Pontecorvo,7.67,bomb muslim resistance revolution algerian independence insurrection government torture unitednations undergroundfighting algiers military casbah battleofalgiers struggleforindependence dramawarhistory gillopontecorvo brahimhadjadj jeanmartin yacefsaadi ugopaletti
Rain Man,1988,Drama,English,Barry Levinson,7.67,"individual lossoflovedone mentallydisabled autism yuppie cardealer egocentrism roadtrip blackjack cincinnati travel convertible lasvegas psychiatrist duringcreditsstinger ""aspergerssyndrome"" savant drama barrylevinson dustinhoffman tomcruise valeriagolino geraldr.molen"
Moonrise Kingdom,2012,Comedy Drama Romance,English,Wes Anderson,7.67,camping hurricane penpals camp newengland firstlove eyepatch searchparty devastation handkerchief childsmoking smalltownsheriff thecolorred thecolorblue boyscouts sanddancing meetcute boyscoutsleader pipesmoking duringcreditsstinger 1960s comedydramaromance wesanderson jaredgilman karahayward edwardnorton brucewillis
Train to Busan,2016,Action Horror Thriller,Korean,Yeon Sang-ho,7.67,zombie train survivalhorror busan southkorea actionhorrorthriller yeonsangho gongyoo madongseok jungyumi choiwooshik
Land of Mine,2015,Drama History War,Danish,Martin Zandvliet,7.67,prisonerofwar war postworldwarii landmine suddendeath boysoldier meagerrations dramahistorywar martinzandvliet rolandmøller mikkelboefølsgaard laurabro louishofmann
Breathless,1960,Drama Crime,French,Jean-Luc Godard,7.67,paris france lossoflovedone journalist running carthief marseille france journalism newspaper smoking hotelroom gun fight dyinganddeath friendship financialtransactions car extramaritalaffair nouvellevague frenchnoir dramacrime jeanlucgodard jeanpaulbelmondo jeanseberg danielboulanger jeanpierremelville
The Maltese Falcon,1941,Mystery Crime Thriller,English,John Huston,7.66,sanfrancisco california lossoflovedone detective noir murder statuette privatedetective blackbird samspade privateeye mysterycrimethriller johnhuston humphreybogart maryastor peterlorre sydneygreenstreet
Sansho the Bailiff,1954,Drama,Japanese,Kenji Mizoguchi,7.66,japan courtesan song exile banishment governor independentfilm prostitution compassion basedonshortstory decree mercy feudaljapan 11thcentury ancientjapan drama kenjimizoguchi kinuyotanaka yoshiakihanayagi kyōkokagawa eitarōshindō
"Batman: The Dark Knight Returns, Part 1",2012,Action Animation Mystery,English,Jay Oliva,7.66,dccomics future dystopia basedongraphicnovel superpower actionanimationmystery jayoliva peterweller arielwinter davidselby wadewilliams
Do the Right Thing,1989,Drama,English,Spike Lee,7.66,newyorkcity blackpeople italianamerican policebrutality hip-hop cultureclash streetwar heat restaurantcritic radiotransmission punk chaos policeoperation pizzeria pizza love money racism hate brooklyn newyorkcity heatwave drama spikelee dannyaiello ossiedavis rubydee richardedson
Strangers on a Train,1951,Crime Thriller,English,Alfred Hitchcock,7.66,perfectcrime obsession island carousel trainride psychopath lighter noir murder cheatingwife strangulation amusementpark husbandwifeestrangement chancemeeting cocktailparty fiancée pennstation stormdrain tennismatch tennispro crimethriller alfredhitchcock farleygranger robertwalker ruthroman patriciahitchcock
Fantastic Mr Fox,2009,Adventure Animation Comedy Family,English,Wes Anderson,7.66,fox tree peasant revenge stopmotion cider tale farmlife anthropomorphism adventureanimationcomedyfamily wesanderson georgeclooney merylstreep jasonschwartzman billmurray
Three Colors: Blue,1993,Drama,French,Krzysztof Kieślowski,7.66,paris france lossoflovedone composer pain tocompose drama krzysztofkieślowski juliettebinoche benoîtrégent florencepernel charlottevéry
Raise the Red Lantern,1991,Drama,Chinese,Zhang Yimou,7.66,competition romanticrivalry marriage polygamy concubine wealth intrigue oppression 1920s drama zhangyimou gongli majingwu hesaifei caocuifen
Spirit: Stallion of the Cimarron,2002,Western Animation Adventure Comedy Family Drama,English,Kelly Asbury,7.66,freedom mustang rivalry wildlife cavalry indianwar eyebrow wildhorse westernanimationadventurecomedyfamilydrama kellyasbury mattdamon jamescromwell danielstudi chopperbernet
Breakfast at Tiffanys,1961,Comedy Drama Romance,English,Blake Edwards,7.66,"newyorkcity lossoflovedone agedifference cat brokenengagement ""loveofoneslife"" jewelry storewindow cigarettesmoking millionaire comedydramaromance blakeedwards audreyhepburn georgepeppard patricianeal buddyebsen"
Misery,1990,Drama Thriller,English,Rob Reiner,7.66,nurse colorado psychopath carcrash author obsessedfan blizzard dramathriller robreiner jamescaan kathybates richardfarnsworth francessternhagen
