Title,Year,Genres,Language,Director,Score,soup
Sherlock: The Final Problem,2017,Drama Mystery Thriller,English,Benjamin Caron,8.2,tvepisode dramamysterythriller benjamincaron benedictcumberbatch martinfreeman markgatiss sianbrooke
Paths of Glory,1957,Drama War,English,Stanley Kubrick,8.19,germany france basedonnovelorbook general patriotism worldwari song army cowardice soldier cultfilm 1910s dramawar stanleykubrick kirkdouglas ralphmeeker adolphemenjou georgemacready
Inglourious Basterds,2009,Drama Action Thriller War,English,Quentin Tarantino,8.19,paris france guerrilla cinema selfsacrifice dynamite mexicanstandoff worldwarii jewpersecution jew/jewish nazi masochism sadism antisemitism swastika germanoccupationoffrance violence britishpolitics hitler adolfhitler dramaactionthrillerwar quentintarantino bradpitt mélanielaurent christophwaltz eliroth
Star Wars: Episode IV - A New Hope,1977,Adventure Action Science Fiction,English,George Lucas,8.19,android galaxy hermit deathstar lightsaber jedi rescuemission empire rebellion planet smuggler theforce spaceopera galacticwar stormtrooper totalitarianism adventureactionsciencefiction georgelucas markhamill harrisonford carriefisher petercushing
The Lion King,1994,Family Animation Drama,English,Roger Allers,8.19,lossoflovedone lion musical wildboar uncle shaman redemption king scar family hyena meerkat mandrill familyanimationdrama rogerallers matthewbroderick jamesearljones jeremyirons rowanatkinson
Gladiator,2000,Action Drama Adventure,English,Ridley Scott,8.19,rome italy parentchildrelationship gladiator arena senate romanempire emperor slavery ancientrome battlefield slaveauction ancientworld combat chariot philosopher fictionalizedhistory barbarianhorde 2ndcentury successor commodus marcusaurelius maximus actiondramaadventure ridleyscott russellcrowe joaquinphoenix connienielsen oliverreed
Intouchables,2011,Drama Comedy,French,Éric Toledano,8.19,malefriendship masseuse friendship basedonatruestory aristocrat paragliding interracialfriendship unlikelyfriendship duringcreditsstinger quadriplegic quadriplegia dramacomedy érictoledano françoiscluzet omarsy audreyfleurot anneleny
Coco,2017,Animation Family Comedy Adventure Fantasy,English,Lee Unkrich,8.19,mexico guitar musician skeleton music afterlife latinxlead singer lifeafterdeath child 3d dayofthedead animationfamilycomedyadventurefantasy leeunkrich anthonygonzalez gaelgarcíabernal benjaminbratt alannaubach
The Shining,1980,Horror Thriller,English,Stanley Kubrick,8.19,hotel montana basedonnovelorbook isolation hotelier oregon usa colorado maze bartender ax delusion loneliness caretaker vision snow writer alcoholic cultfilm snowedin offseason ghostchild horrorthriller stanleykubrick jacknicholson shelleyduvall dannylloyd scatmancrothers
The Legend of 1900,1998,Drama Music Romance,Italian,Giuseppe Tornatore,8.18,ocean ship pianistin childprodigy fondling dramamusicromance giuseppetornatore timroth pruitttaylorvince mélaniethierry billnunn
The Prestige,2006,Drama Mystery Thriller,English,Christopher Nolan,8.18,competition secret obsession magic diary dyinganddeath classsociety illusion tricks hostility class partner rivalry nikolatesla teslacoil dramamysterythriller christophernolan christianbale hughjackman michaelcaine scarlettjohansson
Memento,2000,Mystery Thriller,English,Christopher Nolan,8.18,individual insulin tattoo waitress amnesia motel insurancesalesman revenge flashback confusion memoryloss psychologicalthriller losangeles california polaroid cultfilm nonlineartimeline individuality neo-noir mysterythriller christophernolan guypearce carrieannemoss joepantoliano markboonejunior
Reservoir Dogs,1992,Crime Thriller,English,Quentin Tarantino,8.18,traitor jewelry psychopath thief heist betrayal mystery escape gang plangonewrong cultfilm nonlineartimeline warehouse ensemblecast toldinflashback heistgonewrong foreshadowing rendezvous iconic setinoneroom uneasyalliance ragtaggroup shareduniverse crimethriller quentintarantino harveykeitel timroth michaelmadsen chrispenn
A Clockwork Orange,1971,Science Fiction Drama,English,Stanley Kubrick,8.18,london england streetgang sexuality basedonnovelorbook parentchildrelationship greatbritain socialworker society dystopia satire controversial violence juveniledelinquent cultfilm madeuplanguage futuristicsociety teenageprotagonist sciencefictiondrama stanleykubrick malcolmmcdowell patrickmagee adriennecorri michaelbates
